"Group","N","Mean","SD","p_value","Variable","Stratification"
"Control",796,103.626884422111,12.8208843322463,4.06647674476407e-21,"RNFL_Thickness","Case/Control"
"Case",122,84.4672131147541,18.2603686955208,4.06647674476407e-21,"RNFL_Thickness","Case/Control"
"Control",828,-1.9342270531401,7.03790435491737,4.72925737263727e-11,"VF_MD","Case/Control"
"Case",133,-7.35203007518797,8.39801227919517,4.72925737263727e-11,"VF_MD","Case/Control"
"Control",838,16.3227923627685,4.25605685011785,0.0373035982379183,"IOP","Case/Control"
"Case",136,17.4227941176471,5.86290241498772,0.0373035982379183,"IOP","Case/Control"
"Male",308,97.7142857142857,15.9292876701081,3.3695416010553e-06,"RNFL_Thickness","Sex"
"Female",610,102.780327868852,14.4241726011908,3.3695416010553e-06,"RNFL_Thickness","Sex"
"Female",634,-2.60182965299685,6.89541103412594,0.6570039111226,"VF_MD","Sex"
"Male",327,-2.8434250764526,8.49512920058939,0.6570039111226,"VF_MD","Sex"
"Female",641,16.9750390015601,4.59221498571648,9.48282886703569e-07,"IOP","Sex"
"Male",333,15.5165165165165,4.24429424191174,9.48282886703569e-07,"IOP","Sex"
"Black",401,102.815461346633,16.9822218908224,0.00233463080739623,"RNFL_Thickness","Race"
"White",493,99.6430020283976,13.3139977959654,0.00233463080739623,"RNFL_Thickness","Race"
"White",520,-1.91946153846154,6.73383397038525,0.00150448681612445,"VF_MD","Race"
"Black",415,-3.52228915662651,8.30136909220854,0.00150448681612445,"VF_MD","Race"
"White",522,16.8227969348659,4.48068122658495,0.0257677840119561,"IOP","Race"
"Black",426,16.1631455399061,4.55835661433747,0.0257677840119561,"IOP","Race"
"Age < Median",459,104.16339869281,14.2582807548124,4.53285093947901e-10,"RNFL_Thickness","Age"
"Age >= Median",459,97.9978213507625,15.3576714981713,4.53285093947901e-10,"RNFL_Thickness","Age"
"Age < Median",482,-2.86446058091286,7.70428186555577,0.453085089633036,"VF_MD","Age"
"Age >= Median",479,-2.50248434237996,7.23983450416975,0.453085089633036,"VF_MD","Age"
"Age < Median",486,17.4382716049383,4.21194867557361,2.24867921376534e-11,"IOP","Age"
"Age >= Median",488,15.5184426229508,4.63045760272828,2.24867921376534e-11,"IOP","Age"
