"","Case","Control","Overall","p-value"
"Age (years)","n = 369","n = 1235","n = 1604",""
"","64.4 (10.3)","53.7 (14.9)","56.2 (14.7)","< 0.001***"
"Gender","n = 265","n = 1235","n = 1500",""
"    Female","156 (42.3%)","783 (63.4%)","939 (58.5%)","0.189"
"    Male","109 (29.5%)","452 (36.6%)","561 (35.0%)",""
"    NA","104 (28.2%)","0 (0.0%)","104 (6.5%)",""
"Race","n = 369","n = 1235","n = 1604",""
"    ","232 (62.9%)","235 (19.0%)","467 (29.1%)","< 0.001***"
"    African American/ Black","84 (22.8%)","342 (27.7%)","426 (26.6%)",""
"    American Indian/ Alaska Native","0 (0.0%)","3 (0.2%)","3 (0.2%)",""
"    Asian","0 (0.0%)","31 (2.5%)","31 (1.9%)",""
"    black","1 (0.3%)","29 (2.3%)","30 (1.9%)",""
"    hispanic","0 (0.0%)","39 (3.2%)","39 (2.4%)",""
"    Multiracial","4 (1.1%)","19 (1.5%)","23 (1.4%)",""
"    white","0 (0.0%)","63 (5.1%)","63 (3.9%)",""
"    White","48 (13.0%)","474 (38.4%)","522 (32.5%)",""
"RNFL Thickness ($\mu$m)","n = 122","n = 796","n = 918",""
"","84.5 (18.3)","103.6 (12.8)","101.1 (15.1)","< 0.001***"
"VF MD (dB)","n = 133","n = 828","n = 961",""
"","-7.4 (8.4)","-1.9 (7.0)","-2.7 (7.5)","< 0.001***"
"IOP (mmHg)","n = 136","n = 838","n = 974",""
"","17.4 (5.9)","16.3 (4.3)","16.5 (4.5)","0.037*"
