"","AL-SIGHT","Hood","Overall","p-value"
"Age (years)","n = 974","n = 630","n = 1604",""
"","57.6 (12.4)","53.9 (17.3)","56.2 (14.7)","< 0.001***"
"Gender","n = 974","n = 526","n = 1500",""
"    Female","641 (65.8%)","298 (47.3%)","939 (58.5%)","< 0.001***"
"    Male","333 (34.2%)","228 (36.2%)","561 (35.0%)",""
"    NA","0 (0.0%)","104 (16.5%)","104 (6.5%)",""
"Race","n = 974","n = 630","n = 1604",""
"    ","0 (0.0%)","467 (74.1%)","467 (29.1%)","< 0.001***"
"    African American/ Black","426 (43.7%)","0 (0.0%)","426 (26.6%)",""
"    American Indian/ Alaska Native","3 (0.3%)","0 (0.0%)","3 (0.2%)",""
"    Asian","0 (0.0%)","31 (4.9%)","31 (1.9%)",""
"    black","0 (0.0%)","30 (4.8%)","30 (1.9%)",""
"    hispanic","0 (0.0%)","39 (6.2%)","39 (2.4%)",""
"    Multiracial","23 (2.4%)","0 (0.0%)","23 (1.4%)",""
"    white","0 (0.0%)","63 (10.0%)","63 (3.9%)",""
"    White","522 (53.6%)","0 (0.0%)","522 (32.5%)",""
"RNFL Thickness ($\mu$m)","n = 918","n = 0","n = 918",""
"","101.1 (15.1)","NaN (NA)","101.1 (15.1)","-"
"VF MD (dB)","n = 961","n = 0","n = 961",""
"","-2.7 (7.5)","NaN (NA)","-2.7 (7.5)","-"
"IOP (mmHg)","n = 974","n = 0","n = 974",""
"","16.5 (4.5)","NaN (NA)","16.5 (4.5)","-"
