Domain,Model_Type,Outcome,Model,Threshold_Type,Threshold,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV,Accuracy
AL-SIGHT,Unimodal,Glaucoma+Suspect vs Healthy,Fundus,Youden,0.3518,57,709,129,79,0.4191,0.8461,0.3065,0.8997,0.7864
AL-SIGHT,Unimodal,Glaucoma+Suspect vs Healthy,Fundus,90% Specificity,0.3733,39,755,83,97,0.2868,0.901,0.3197,0.8862,0.8152
AL-SIGHT,Unimodal,Glaucoma+Suspect vs Healthy,Fundus,95% Specificity,0.4049,26,797,41,110,0.1912,0.9511,0.3881,0.8787,0.845
AL-SIGHT,Unimodal,Glaucoma+Suspect vs Healthy,Fundus,99% Specificity,0.4762,14,830,8,122,0.1029,0.9905,0.6364,0.8718,0.8665
AL-SIGHT,Multimodal,Glaucoma+Suspect vs Healthy,RNFL+Circle,Youden,0.2998,112,603,235,24,0.8235,0.7196,0.3228,0.9617,0.7341
AL-SIGHT,Multimodal,Glaucoma+Suspect vs Healthy,RNFL+Circle,90% Specificity,0.4324,80,755,83,56,0.5882,0.901,0.4908,0.9309,0.8573
AL-SIGHT,Multimodal,Glaucoma+Suspect vs Healthy,RNFL+Circle,95% Specificity,0.5109,64,797,41,72,0.4706,0.9511,0.6095,0.9171,0.884
AL-SIGHT,Multimodal,Glaucoma+Suspect vs Healthy,RNFL+Circle,99% Specificity,0.6389,35,830,8,101,0.2574,0.9905,0.814,0.8915,0.8881
AL-SIGHT,Multimodal,Glaucoma+Suspect vs Healthy,RNFL+Circle+Fundus,Youden,0.3113,98,693,145,38,0.7206,0.827,0.4033,0.948,0.8121
AL-SIGHT,Multimodal,Glaucoma+Suspect vs Healthy,RNFL+Circle+Fundus,90% Specificity,0.3595,77,755,83,59,0.5662,0.901,0.4812,0.9275,0.8542
AL-SIGHT,Multimodal,Glaucoma+Suspect vs Healthy,RNFL+Circle+Fundus,95% Specificity,0.423,49,797,41,87,0.3603,0.9511,0.5444,0.9016,0.8686
AL-SIGHT,Multimodal,Glaucoma+Suspect vs Healthy,RNFL+Circle+Fundus,99% Specificity,0.5155,31,830,8,105,0.2279,0.9905,0.7949,0.8877,0.884
AL-SIGHT,Unimodal,Glaucoma vs Suspect+Healthy,Fundus,Youden,0.357,27,786,139,22,0.551,0.8497,0.1627,0.9728,0.8347
AL-SIGHT,Unimodal,Glaucoma vs Suspect+Healthy,Fundus,90% Specificity,0.3774,19,833,92,30,0.3878,0.9005,0.1712,0.9652,0.8747
AL-SIGHT,Unimodal,Glaucoma vs Suspect+Healthy,Fundus,95% Specificity,0.414,13,879,46,36,0.2653,0.9503,0.2203,0.9607,0.9158
AL-SIGHT,Unimodal,Glaucoma vs Suspect+Healthy,Fundus,99% Specificity,0.49,9,916,9,40,0.1837,0.9903,0.5,0.9582,0.9497
AL-SIGHT,Multimodal,Glaucoma vs Suspect+Healthy,RNFL+Circle,Youden,0.3728,43,734,191,6,0.8776,0.7935,0.1838,0.9919,0.7977
AL-SIGHT,Multimodal,Glaucoma vs Suspect+Healthy,RNFL+Circle,90% Specificity,0.4873,36,834,91,13,0.7347,0.9016,0.2835,0.9847,0.8932
AL-SIGHT,Multimodal,Glaucoma vs Suspect+Healthy,RNFL+Circle,95% Specificity,0.5543,30,879,46,19,0.6122,0.9503,0.3947,0.9788,0.9333
AL-SIGHT,Multimodal,Glaucoma vs Suspect+Healthy,RNFL+Circle,99% Specificity,0.6833,16,916,9,33,0.3265,0.9903,0.64,0.9652,0.9569
AL-SIGHT,Multimodal,Glaucoma vs Suspect+Healthy,RNFL+Circle+Fundus,Youden,0.2682,47,638,287,2,0.9592,0.6897,0.1407,0.9969,0.7033
AL-SIGHT,Multimodal,Glaucoma vs Suspect+Healthy,RNFL+Circle+Fundus,90% Specificity,0.3891,33,833,92,16,0.6735,0.9005,0.264,0.9812,0.8891
AL-SIGHT,Multimodal,Glaucoma vs Suspect+Healthy,RNFL+Circle+Fundus,95% Specificity,0.45,27,879,46,22,0.551,0.9503,0.3699,0.9756,0.9302
