Domain,Model,Model_Type,Outcome,Threshold,Specificity,Sensitivity,FPR
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,-Inf,0,1,1
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.13441285490989685,0.002386634844868735,1,0.9976133651551312
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.14073484390974045,0.00477326968973747,1,0.9952267303102625
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.14616070687770838,0.007159904534606206,1,0.9928400954653938
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1496941745281219,0.00954653937947494,1,0.9904534606205251
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.151439294219017,0.011933174224343675,1,0.9880668257756563
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.153241217136383,0.013126491646778043,1,0.986873508353222
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1537837758660316,0.014319809069212411,1,0.9856801909307876
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.15906034409999845,0.015513126491646777,1,0.9844868735083532
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1643656864762306,0.016706443914081145,1,0.9832935560859188
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1662386432290077,0.017899761336515514,1,0.9821002386634845
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.16812673211097715,0.02028639618138425,1,0.9797136038186157
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.16850627958774564,0.021479713603818614,1,0.9785202863961814
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.16863030940294266,0.022673031026252982,1,0.977326968973747
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.16945061087608335,0.02386634844868735,1,0.9761336515513126
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1708658635616302,0.025059665871121718,1,0.9749403341288783
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.17151007056236264,0.026252983293556086,1,0.9737470167064439
