Domain,Model_Type,Model,Stratum,N,N_Cases,N_Controls,AUC,AUC_Formatted,AUPRC
AL-SIGHT,Unimodal,Fundus,Overall,974,136,838,0.6832795170574184,"0.683 (0.607, 0.750)",0.3095820403724465
AL-SIGHT,Unimodal,Fundus,Male,333,52,281,0.7621817684095276,"0.762 (0.665, 0.842)",0.4128926314144215
AL-SIGHT,Unimodal,Fundus,Female,641,84,557,0.6358467983243574,"0.636 (0.522, 0.757)",0.25187733224876124
AL-SIGHT,Unimodal,Fundus,Age >= Median,482,79,403,0.6388164714012005,"0.639 (0.538, 0.736)",0.3238204119330229
AL-SIGHT,Unimodal,Fundus,Age < Median,492,57,435,0.70905424480742,"0.709 (0.540, 0.846)",0.3254321940587519
AL-SIGHT,Unimodal,Fundus,White,522,48,474,0.6028041490857937,"0.603 (0.434, 0.737)",0.1582765260242966
AL-SIGHT,Unimodal,Fundus,Black,426,84,342,0.7488861041492623,"0.749 (0.664, 0.832)",0.47576950478429136
AL-SIGHT,Multimodal,RNFL+Circle,Overall,974,136,838,0.8415169170293443,"0.842 (0.795, 0.891)",0.5583511393814273
AL-SIGHT,Multimodal,RNFL+Circle,Male,333,52,281,0.8935806186695865,"0.894 (0.824, 0.941)",0.7142700630759135
AL-SIGHT,Multimodal,RNFL+Circle,Female,641,84,557,0.811874839702489,"0.812 (0.746, 0.868)",0.4620520895233993
AL-SIGHT,Multimodal,RNFL+Circle,Age >= Median,482,79,403,0.826491189496498,"0.826 (0.745, 0.890)",0.6344981915852497
AL-SIGHT,Multimodal,RNFL+Circle,Age < Median,492,57,435,0.8684008872756572,"0.868 (0.798, 0.924)",0.4737703759970547
AL-SIGHT,Multimodal,RNFL+Circle,White,522,48,474,0.7936445147679306,"0.794 (0.704, 0.874)",0.3801854630681591
AL-SIGHT,Multimodal,RNFL+Circle,Black,426,84,342,0.8783416875522139,"0.878 (0.815, 0.923)",0.6739404734007468
AL-SIGHT,Multimodal,RNFL+Circle+Fundus,Overall,974,136,838,0.8422978379896117,"0.842 (0.792, 0.884)",0.5484683190936488
AL-SIGHT,Multimodal,RNFL+Circle+Fundus,Male,333,52,281,0.8983712017519834,"0.898 (0.824, 0.952)",0.7256954091911096
AL-SIGHT,Multimodal,RNFL+Circle+Fundus,Female,641,84,557,0.8092887065059423,"0.809 (0.744, 0.879)",0.441647167126411
AL-SIGHT,Multimodal,RNFL+Circle+Fundus,Age >= Median,482,79,403,0.8249206897634842,"0.825 (0.728, 0.878)",0.6026461585341698
AL-SIGHT,Multimodal,RNFL+Circle+Fundus,Age < Median,492,57,435,0.8678765880217761,"0.868 (0.786, 0.921)",0.48776156248119973
AL-SIGHT,Multimodal,RNFL+Circle+Fundus,White,522,48,474,0.8156645569620226,"0.816 (0.738, 0.887)",0.40486893013737585
AL-SIGHT,Multimodal,RNFL+Circle+Fundus,Black,426,84,342,0.865253411306044,"0.865 (0.805, 0.911)",0.6399122315699309
Hood,Unimodal,Fundus,Overall,630,233,397,0.8100236754197252,"0.810 (0.776, 0.844)",0.7266612781138455
Hood,Unimodal,Fundus,Male,228,NA,NA,0.8551349133066585,"0.855 (0.804, 0.907)",NA
Hood,Unimodal,Fundus,Female,298,NA,NA,0.7560226155358919,"0.756 (0.694, 0.818)",NA
Hood,Unimodal,Fundus,Age >= Median,322,214,108,0.8901003807545862,"0.890 (0.854, 0.926)",0.9402640629088965
Hood,Unimodal,Fundus,Age < Median,308,19,289,0.8195228555818604,"0.820 (0.737, 0.903)",0.34760206131098126
Hood,Unimodal,Fundus,Black,30,1,29,0.6206896551724138,"0.621 (NA, NA)",0.04287485311407346
Hood,Multimodal,RNFL+Circle,Overall,630,233,397,0.9934919622490566,"0.993 (0.989, 0.998)",0.9876267030303447
Hood,Multimodal,RNFL+Circle,Male,228,NA,NA,0.9864573714989227,"0.986 (0.975, 0.998)",NA
Hood,Multimodal,RNFL+Circle,Female,298,NA,NA,0.9960668633235,"0.996 (0.992, 1.000)",NA
Hood,Multimodal,RNFL+Circle,Age >= Median,322,214,108,0.984164070612669,"0.984 (0.972, 0.997)",0.990956098117132
Hood,Multimodal,RNFL+Circle,Age < Median,308,19,289,0.9990894190493534,"0.999 (0.997, 1.000)",0.986800753578163
Hood,Multimodal,RNFL+Circle,Black,30,1,29,1,"1.000 (NA, NA)",1
Hood,Multimodal,RNFL+Circle+Fundus,Overall,630,233,397,0.9945730316428983,"0.995 (0.991, 0.998)",0.9907624528725981
Hood,Multimodal,RNFL+Circle+Fundus,Male,228,NA,NA,0.9925105160562224,"0.993 (0.985, 1.000)",NA
Hood,Multimodal,RNFL+Circle+Fundus,Female,298,NA,NA,0.9955137659783676,"0.996 (0.991, 1.000)",NA
Hood,Multimodal,RNFL+Circle+Fundus,Age >= Median,322,214,108,0.9901349948078916,"0.990 (0.982, 0.998)",0.994976221821925
Hood,Multimodal,RNFL+Circle+Fundus,Age < Median,308,19,289,0.9989073028592241,"0.999 (0.997, 1.000)",0.9824226786103635
Hood,Multimodal,RNFL+Circle+Fundus,Black,30,1,29,1,"1.000 (NA, NA)",1
